timestamp,latency,encoding_time_diane,numberpoints,height,width,bw,fps,is_dense,format
1750345454.899758,60.829579,14.208743,990,1,230400,1000000,15,false,diane
1750345454.934810,43.437772,15.891766,990,1,230400,1000000,15,false,diane
1750345454.994468,52.871408,26.806658,990,1,230400,1000000,15,false,diane
1750345455.030337,31.956688,16.707532,990,1,230400,1000000,15,false,diane
1750345455.103036,27.351601,10.584931,990,1,230400,1000000,15,false,diane
1750345455.137743,25.174517,9.244223,990,1,230400,1000000,15,false,diane
1750345455.230300,38.388001,18.844359,990,1,230400,1000000,15,false,diane
1750345455.361323,56.234924,16.553768,990,1,230400,1000000,15,false,diane
1750345455.463376,35.042917,13.596886,990,1,230400,1000000,15,false,diane
1750345455.628428,32.039730,11.635104,990,1,230400,1000000,15,false,diane
1750345455.761474,46.609443,14.531344,990,1,230400,1000000,15,false,diane
1750345455.863211,39.804072,17.150872,990,1,230400,1000000,15,false,diane
1750345456.034207,41.525079,14.898043,990,1,230400,1000000,15,false,diane
1750345456.072680,35.027333,12.300339,990,1,230400,1000000,15,false,diane
1750345456.169532,30.148862,11.718691,990,1,230400,1000000,15,false,diane
1750345456.189990,36.497645,10.737287,990,1,230400,1000000,15,false,diane
1750345456.231792,32.349947,13.221004,990,1,230400,1000000,15,false,diane
1750345456.308041,27.269966,9.067450,990,1,230400,1000000,15,false,diane
1750345456.340194,32.330170,11.504189,990,1,230400,1000000,15,false,diane
1750345456.367969,33.038541,14.244776,990,1,230400,1000000,15,false,diane
1750345456.528841,45.027063,20.833437,990,1,230400,1000000,15,false,diane
1750345456.630497,43.406219,11.372954,990,1,230400,1000000,15,false,diane
1750345456.698213,52.984211,27.240750,990,1,230400,1000000,15,false,diane
1750345456.770946,37.987030,9.491493,990,1,230400,1000000,15,false,diane
1750345456.844418,39.980012,19.956837,990,1,230400,1000000,15,false,diane
1750345456.868140,58.036638,33.952582,990,1,230400,1000000,15,false,diane
1750345456.905547,41.780702,18.836774,990,1,230400,1000000,15,false,diane
1750345457.067338,35.975966,13.027943,990,1,230400,1000000,15,false,diane
1750345457.094687,32.981740,8.888692,990,1,230400,1000000,15,false,diane
1750345457.136790,37.588203,13.653975,990,1,230400,1000000,15,false,diane
1750345457.179451,33.781282,10.306139,990,1,230400,1000000,15,false,diane
1750345457.217607,48.333138,20.975361,990,1,230400,1000000,15,false,diane
1750345457.294123,39.223000,14.773590,990,1,230400,1000000,15,false,diane
1750345457.432760,36.792789,15.330502,990,1,230400,1000000,15,false,diane
1750345457.628126,44.523465,25.773893,990,1,230400,1000000,15,false,diane
1750345457.699795,35.117798,12.618876,990,1,230400,1000000,15,false,diane
1750345457.809800,56.868797,29.074529,990,1,230400,1000000,15,false,diane
1750345457.847174,36.138947,10.052820,990,1,230400,1000000,15,false,diane
1750345457.899654,39.928363,17.051957,990,1,230400,1000000,15,false,diane
1750345457.930767,40.374871,16.232191,990,1,230400,1000000,15,false,diane
1750345457.971823,41.832479,19.170703,990,1,230400,1000000,15,false,diane
1750345458.013213,52.429987,14.732597,990,1,230400,1000000,15,false,diane
1750345458.088952,54.374840,22.659919,990,1,230400,1000000,15,false,diane
1750345458.120426,48.171854,21.832217,990,1,230400,1000000,15,false,diane
1750345458.210579,29.769491,14.019201,990,1,230400,1000000,15,false,diane
1750345458.298304,29.195524,11.512189,990,1,230400,1000000,15,false,diane
1750345458.356678,35.929660,13.677336,990,1,230400,1000000,15,false,diane
1750345458.486661,55.106540,11.039888,990,1,230400,1000000,15,false,diane
1750345458.531493,38.756906,18.019280,990,1,230400,1000000,15,false,diane
1750345458.559894,37.860690,10.015444,990,1,230400,1000000,15,false,diane
1750345458.632338,33.469881,9.365282,990,1,230400,1000000,15,false,diane
1750345458.666591,45.446691,16.890353,990,1,230400,1000000,15,false,diane
1750345458.697491,43.556079,15.748465,990,1,230400,1000000,15,false,diane
1750345458.791882,33.183537,9.758701,990,1,230400,1000000,15,false,diane
1750345458.866854,43.115682,20.109673,990,1,230400,1000000,15,false,diane
1750345458.996277,44.788720,14.899610,990,1,230400,1000000,15,false,diane
1750345459.030680,68.989322,25.082962,990,1,230400,1000000,15,false,diane
1750345459.074370,36.857557,10.817898,990,1,230400,1000000,15,false,diane
1750345459.294247,37.685101,19.835202,990,1,230400,1000000,15,false,diane
1750345459.335333,38.808076,15.963479,990,1,230400,1000000,15,false,diane
1750345459.363525,29.273766,8.313573,990,1,230400,1000000,15,false,diane
1750345459.398059,31.247260,9.411171,990,1,230400,1000000,15,false,diane
1750345459.469767,41.912129,6.392880,990,1,230400,1000000,15,false,diane
1750345459.532878,29.962424,14.125476,990,1,230400,1000000,15,false,diane
1750345459.595641,35.063525,16.495429,990,1,230400,1000000,15,false,diane
1750345459.664827,34.736187,14.496175,990,1,230400,1000000,15,false,diane
1750345459.734613,35.399598,10.419679,990,1,230400,1000000,15,false,diane
1750345459.769900,38.243996,12.990661,990,1,230400,1000000,15,false,diane
1750345459.861459,38.781451,14.839448,990,1,230400,1000000,15,false,diane
1750345459.927680,35.932605,13.063432,990,1,230400,1000000,15,false,diane
1750345459.965791,23.473638,6.543412,990,1,230400,1000000,15,false,diane
1750345460.033637,34.070825,7.773046,990,1,230400,1000000,15,false,diane
1750345460.066256,36.056607,15.774257,990,1,230400,1000000,15,false,diane
1750345460.100629,32.066290,11.358392,990,1,230400,1000000,15,false,diane
1750345460.130178,28.626260,10.519841,990,1,230400,1000000,15,false,diane
1750345460.294100,32.669570,16.051737,990,1,230400,1000000,15,false,diane
1750345460.396379,36.012926,16.770989,990,1,230400,1000000,15,false,diane
1750345460.496111,37.759087,19.596379,990,1,230400,1000000,15,false,diane
1750345460.661016,33.615356,16.409475,990,1,230400,1000000,15,false,diane
1750345460.699970,35.762360,11.794949,990,1,230400,1000000,15,false,diane
1750345460.763956,24.197978,8.652014,990,1,230400,1000000,15,false,diane
1750345460.893056,39.725444,19.932196,990,1,230400,1000000,15,false,diane
1750345460.935822,29.048799,8.235106,990,1,230400,1000000,15,false,diane
1750345461.028865,39.516830,21.611026,990,1,230400,1000000,15,false,diane
1750345461.163268,35.926172,18.995722,990,1,230400,1000000,15,false,diane
1750345461.231891,35.552113,14.475022,990,1,230400,1000000,15,false,diane
1750345461.266453,29.463498,11.373752,990,1,230400,1000000,15,false,diane
1750345461.334553,31.363806,13.813115,990,1,230400,1000000,15,false,diane
1750345461.464875,32.293656,15.660590,990,1,230400,1000000,15,false,diane
1750345461.500564,29.154338,9.470468,990,1,230400,1000000,15,false,diane
1750345461.596108,37.497383,14.637907,990,1,230400,1000000,15,false,diane
1750345461.699396,36.910102,13.998401,990,1,230400,1000000,15,false,diane
1750345461.763208,36.993721,16.693707,990,1,230400,1000000,15,false,diane
1750345461.834987,35.279050,17.508033,990,1,230400,1000000,15,false,diane
1750345461.932873,36.276613,14.969404,990,1,230400,1000000,15,false,diane
1750345461.966356,39.202741,9.476037,990,1,230400,1000000,15,false,diane
1750345462.010984,57.454539,21.220871,990,1,230400,1000000,15,false,diane
1750345462.046665,34.267470,14.193318,990,1,230400,1000000,15,false,diane
1750345462.098692,32.448604,14.916026,990,1,230400,1000000,15,false,diane
1750345462.195949,42.435534,18.534941,990,1,230400,1000000,15,false,diane
1750345462.237910,28.541393,10.357373,990,1,230400,1000000,15,false,diane
1750345462.309340,26.708286,7.680147,990,1,230400,1000000,15,false,diane
1750345462.334825,39.789222,9.706059,990,1,230400,1000000,15,false,diane
1750345462.368819,36.906390,19.208176,990,1,230400,1000000,15,false,diane
1750345462.468028,26.898211,8.390886,990,1,230400,1000000,15,false,diane
1750345462.565981,32.801125,16.432132,990,1,230400,1000000,15,false,diane
1750345462.605368,28.852697,8.596972,990,1,230400,1000000,15,false,diane
1750345462.699818,33.619004,14.191302,990,1,230400,1000000,15,false,diane
1750345462.734885,33.293171,7.959131,990,1,230400,1000000,15,false,diane
1750345462.765929,30.447813,9.284127,990,1,230400,1000000,15,false,diane
1750345462.828885,29.339815,12.888259,990,1,230400,1000000,15,false,diane
1750345462.928302,32.416219,14.358154,990,1,230400,1000000,15,false,diane
1750345462.974080,29.035390,8.425863,990,1,230400,1000000,15,false,diane
1750345463.028693,43.197955,20.094440,990,1,230400,1000000,15,false,diane
1750345463.099103,35.044867,11.392889,990,1,230400,1000000,15,false,diane
1750345463.162630,33.906724,18.044880,990,1,230400,1000000,15,false,diane
1750345463.230618,38.131160,20.059847,990,1,230400,1000000,15,false,diane
1750345463.270012,41.173387,15.840979,990,1,230400,1000000,15,false,diane
1750345463.339228,27.369776,8.421128,990,1,230400,1000000,15,false,diane
1750345463.364714,30.189437,14.066531,990,1,230400,1000000,15,false,diane
1750345463.406636,26.376533,7.482958,990,1,230400,1000000,15,false,diane
1750345463.464290,32.456220,15.311461,990,1,230400,1000000,15,false,diane
1750345463.500741,46.926858,27.399025,990,1,230400,1000000,15,false,diane
1750345463.596300,30.354754,10.076565,990,1,230400,1000000,15,false,diane
1750345463.664477,29.730961,10.137526,990,1,230400,1000000,15,false,diane
1750345463.740146,31.123191,14.107396,990,1,230400,1000000,15,false,diane
1750345463.771458,28.633139,11.733154,990,1,230400,1000000,15,false,diane
1750345463.804962,29.117184,8.315236,990,1,230400,1000000,15,false,diane
1750345463.870578,32.107698,14.333706,990,1,230400,1000000,15,false,diane
1750345463.903636,32.596800,14.509455,990,1,230400,1000000,15,false,diane
1750345463.935784,28.566512,10.621091,990,1,230400,1000000,15,false,diane
1750345464.010918,37.194206,16.355489,990,1,230400,1000000,15,false,diane
1750345464.064857,30.410403,11.602238,990,1,230400,1000000,15,false,diane
1750345464.098450,32.973546,15.899381,990,1,230400,1000000,15,false,diane
1750345464.134718,26.255633,10.311900,990,1,230400,1000000,15,false,diane
1750345464.205092,32.407194,16.047064,990,1,230400,1000000,15,false,diane
1750345464.330227,35.175750,19.777600,990,1,230400,1000000,15,false,diane
1750345464.369013,23.564712,7.013376,990,1,230400,1000000,15,false,diane
1750345464.432425,32.568159,16.714763,990,1,230400,1000000,15,false,diane
1750345464.465209,36.929398,16.853999,990,1,230400,1000000,15,false,diane
1750345464.534005,36.562285,18.998154,990,1,230400,1000000,15,false,diane
1750345464.599687,34.840925,9.707051,990,1,230400,1000000,15,false,diane
1750345464.669581,30.237055,9.046873,990,1,230400,1000000,15,false,diane
1750345464.702631,29.013981,12.709533,990,1,230400,1000000,15,false,diane
1750345464.770793,30.065178,13.634199,990,1,230400,1000000,15,false,diane
1750345464.836858,35.653235,9.359105,990,1,230400,1000000,15,false,diane
1750345464.962235,39.621217,21.821207,990,1,230400,1000000,15,false,diane
1750345465.003665,28.997916,10.358749,990,1,230400,1000000,15,false,diane
1750345465.063914,34.462483,11.808100,990,1,230400,1000000,15,false,diane
1750345465.134076,30.174460,7.693971,990,1,230400,1000000,15,false,diane
1750345465.207967,34.564693,13.769466,990,1,230400,1000000,15,false,diane
1750345465.318026,53.599680,17.779112,990,1,230400,1000000,15,false,diane
1750345465.414900,51.580809,19.777951,990,1,230400,1000000,15,false,diane
1750345465.503222,44.763149,22.435144,990,1,230400,1000000,15,false,diane
1750345465.661570,43.864725,23.562823,990,1,230400,1000000,15,false,diane
1750345465.795305,40.355604,19.393525,990,1,230400,1000000,15,false,diane
1750345465.863875,38.723175,15.394823,990,1,230400,1000000,15,false,diane
1750345465.900697,40.251762,17.300411,990,1,230400,1000000,15,false,diane
1750345465.972234,52.537059,24.192440,990,1,230400,1000000,15,false,diane
1750345466.036858,61.738815,18.388153,990,1,230400,1000000,15,false,diane
1750345466.102667,24.553378,7.855031,990,1,230400,1000000,15,false,diane
1750345466.201414,40.720990,12.506839,990,1,230400,1000000,15,false,diane
1750345466.300519,51.931826,17.013843,990,1,230400,1000000,15,false,diane
1750345466.370158,49.950587,20.674327,990,1,230400,1000000,15,false,diane
1750345466.505659,33.547417,13.006437,990,1,230400,1000000,15,false,diane
1750345466.565846,35.866649,10.394557,990,1,230400,1000000,15,false,diane
1750345466.729917,41.044039,8.186753,990,1,230400,1000000,15,false,diane
1750345466.767360,51.034777,15.004124,990,1,230400,1000000,15,false,diane
1750345466.799446,45.468544,15.112159,990,1,230400,1000000,15,false,diane
1750345466.838252,39.875879,9.319008,990,1,230400,1000000,15,false,diane
1750345466.908252,37.291968,18.560029,990,1,230400,1000000,15,false,diane
