timestamp,latency,encoding_time_diane,numberpoints,height,width,bw,fps,is_dense,format
1750345299.253517,42.242759,23.906963,2356,1,230400,2530000,16,false,diane
1750345299.295097,33.643502,14.556933,2356,1,230400,2530000,16,false,diane
1750345299.333368,34.237727,9.174697,2356,1,230400,2530000,16,false,diane
1750345299.372563,36.166070,15.674374,2356,1,230400,2530000,16,false,diane
1750345299.425447,33.316356,12.408903,2356,1,230400,2530000,16,false,diane
1750345299.460880,30.202794,12.376774,2356,1,230400,2530000,16,false,diane
1750345299.521657,39.289073,20.936734,2356,1,230400,2530000,16,false,diane
1750345299.619376,40.486964,22.397928,2356,1,230400,2530000,16,false,diane
1750345299.687188,37.406778,19.181419,2356,1,230400,2530000,16,false,diane
1750345299.738937,26.732070,8.305873,2356,1,230400,2530000,16,false,diane
1750345299.758847,33.863796,17.596574,2356,1,230400,2530000,16,false,diane
1750345299.826982,30.909758,6.887591,2356,1,230400,2530000,16,false,diane
1750345299.922390,36.179063,20.709207,2356,1,230400,2530000,16,false,diane
1750345299.967430,28.209456,8.173164,2356,1,230400,2530000,16,false,diane
1750345300.054197,41.433039,23.442790,2356,1,230400,2530000,16,false,diane
1750345300.156669,47.439261,28.974886,2356,1,230400,2530000,16,false,diane
1750345300.197404,35.597414,16.982859,2356,1,230400,2530000,16,false,diane
1750345300.232124,35.837836,12.258947,2356,1,230400,2530000,16,false,diane
1750345300.264294,40.103528,17.474682,2356,1,230400,2530000,16,false,diane
1750345300.358618,29.769053,12.479305,2356,1,230400,2530000,16,false,diane
1750345300.422224,35.970737,17.564892,2356,1,230400,2530000,16,false,diane
1750345300.492122,30.745529,15.208664,2356,1,230400,2530000,16,false,diane
1750345300.567012,32.206852,16.055409,2356,1,230400,2530000,16,false,diane
1750345300.595143,35.732681,14.822797,2356,1,230400,2530000,16,false,diane
1750345300.627873,34.696684,10.295370,2356,1,230400,2530000,16,false,diane
1750345300.671573,30.112679,8.519542,2356,1,230400,2530000,16,false,diane
1750345300.703453,36.036627,17.024653,2356,1,230400,2530000,16,false,diane
1750345300.736015,34.470405,10.959997,2356,1,230400,2530000,16,false,diane
1750345300.795522,27.683489,9.861213,2356,1,230400,2530000,16,false,diane
1750345300.892759,38.246130,11.506412,2356,1,230400,2530000,16,false,diane
1750345300.929384,27.419257,7.687903,2356,1,230400,2530000,16,false,diane
1750345301.025533,38.173232,13.061178,2356,1,230400,2530000,16,false,diane
1750345301.091609,38.313652,16.336089,2356,1,230400,2530000,16,false,diane
1750345301.159811,35.927663,15.109941,2356,1,230400,2530000,16,false,diane
1750345301.228724,29.377585,8.216942,2356,1,230400,2530000,16,false,diane
1750345301.421805,35.171673,17.247218,2356,1,230400,2530000,16,false,diane
1750345301.523913,46.142550,18.575161,2356,1,230400,2530000,16,false,diane
1750345301.594680,32.471339,9.708089,2356,1,230400,2530000,16,false,diane
1750345301.720156,43.904086,23.254336,2356,1,230400,2530000,16,false,diane
1750345301.855006,48.003084,10.628691,2356,1,230400,2530000,16,false,diane
1750345301.927546,29.005767,7.449591,2356,1,230400,2530000,16,false,diane
1750345302.025223,46.674949,16.825094,2356,1,230400,2530000,16,false,diane
1750345302.070075,45.125337,26.195957,2356,1,230400,2530000,16,false,diane
1750345302.094800,34.223517,15.251128,2356,1,230400,2530000,16,false,diane
1750345302.128881,32.710770,9.823612,2356,1,230400,2530000,16,false,diane
1750345302.224097,27.360151,7.860484,2356,1,230400,2530000,16,false,diane
1750345302.259593,43.143551,17.215410,2356,1,230400,2530000,16,false,diane
1750345302.325067,32.870486,13.573353,2356,1,230400,2530000,16,false,diane
1750345302.423269,30.692087,10.005505,2356,1,230400,2530000,16,false,diane
1750345302.620041,36.668100,20.090661,2356,1,230400,2530000,16,false,diane
1750345302.685134,26.434268,10.383757,2356,1,230400,2530000,16,false,diane
1750345302.820431,38.256178,20.435087,2356,1,230400,2530000,16,false,diane
1750345302.888469,26.602689,10.056419,2356,1,230400,2530000,16,false,diane
1750345302.954706,34.470212,16.663394,2356,1,230400,2530000,16,false,diane
1750345303.055356,33.866291,16.362168,2356,1,230400,2530000,16,false,diane
1750345303.119546,31.640690,12.616588,2356,1,230400,2530000,16,false,diane
1750345303.188148,28.977477,11.231236,2356,1,230400,2530000,16,false,diane
1750345303.255607,38.148686,14.382048,2356,1,230400,2530000,16,false,diane
1750345303.297937,28.547769,11.727347,2356,1,230400,2530000,16,false,diane
1750345303.357935,33.607627,12.863604,2356,1,230400,2530000,16,false,diane
1750345303.456629,31.734901,14.815052,2356,1,230400,2530000,16,false,diane
1750345303.492555,22.276452,6.742882,2356,1,230400,2530000,16,false,diane
1750345303.555138,33.482311,15.356572,2356,1,230400,2530000,16,false,diane
1750345303.622055,24.831886,8.921186,2356,1,230400,2530000,16,false,diane
1750345303.689161,28.287186,8.190413,2356,1,230400,2530000,16,false,diane
1750345303.722780,26.569888,7.929734,2356,1,230400,2530000,16,false,diane
1750345303.788091,30.412814,14.816652,2356,1,230400,2530000,16,false,diane
1750345303.857466,37.668640,17.199697,2356,1,230400,2530000,16,false,diane
1750345303.923215,33.166718,14.399136,2356,1,230400,2530000,16,false,diane
1750345303.988802,32.967768,14.821964,2356,1,230400,2530000,16,false,diane
1750345304.025670,25.288955,7.078989,2356,1,230400,2530000,16,false,diane
1750345304.087517,34.464932,10.490735,2356,1,230400,2530000,16,false,diane
1750345304.187557,35.587396,19.788092,2356,1,230400,2530000,16,false,diane
1750345304.227055,22.690480,7.181487,2356,1,230400,2530000,16,false,diane
1750345304.288908,32.895510,15.798121,2356,1,230400,2530000,16,false,diane
1750345304.354416,36.460221,18.896993,2356,1,230400,2530000,16,false,diane
1750345304.456254,35.193304,17.494105,2356,1,230400,2530000,16,false,diane
1750345304.520022,39.878816,21.751925,2356,1,230400,2530000,16,false,diane
1750345304.558820,28.460214,12.741808,2356,1,230400,2530000,16,false,diane
1750345304.620699,35.862220,19.562741,2356,1,230400,2530000,16,false,diane
1750345304.659083,24.374304,7.889988,2356,1,230400,2530000,16,false,diane
1750345304.721422,35.918797,19.025446,2356,1,230400,2530000,16,false,diane
1750345304.821003,37.580830,19.800828,2356,1,230400,2530000,16,false,diane
1750345304.885952,32.781683,15.454015,2356,1,230400,2530000,16,false,diane
1750345304.985957,36.903209,18.458005,2356,1,230400,2530000,16,false,diane
1750345305.087604,41.361226,20.909180,2356,1,230400,2530000,16,false,diane
1750345305.153104,40.183720,19.712410,2356,1,230400,2530000,16,false,diane
1750345305.221569,38.619323,22.063453,2356,1,230400,2530000,16,false,diane
1750345305.322489,34.511300,17.430712,2356,1,230400,2530000,16,false,diane
1750345305.368108,30.461807,13.236318,2356,1,230400,2530000,16,false,diane
1750345305.429935,36.733509,12.261762,2356,1,230400,2530000,16,false,diane
1750345305.457166,23.748589,8.023560,2356,1,230400,2530000,16,false,diane
1750345305.555162,38.515544,21.241829,2356,1,230400,2530000,16,false,diane
1750345305.594946,27.860100,11.943065,2356,1,230400,2530000,16,false,diane
1750345305.656897,35.835275,19.053286,2356,1,230400,2530000,16,false,diane
1750345305.693820,28.414708,11.452650,2356,1,230400,2530000,16,false,diane
1750345305.726707,32.542156,15.164342,2356,1,230400,2530000,16,false,diane
1750345305.790510,35.298651,19.498323,2356,1,230400,2530000,16,false,diane
1750345305.854336,32.968984,15.523360,2356,1,230400,2530000,16,false,diane
