timestamp,latency,encoding_time_diane,numberpoints,height,width,bw,fps,is_dense,format
1750255144.414955,18.209903,7.296140,0,1,230400,31790,7,false,diane
1750255144.539282,20.172285,9.368829,0,1,230400,31790,7,false,diane
1750255144.606827,18.629465,8.106112,0,1,230400,31790,7,false,diane
1750255144.738260,32.646500,14.608858,0,1,230400,31790,7,false,diane
1750255144.806772,21.784099,9.359934,0,1,230400,31790,7,false,diane
1750255144.873055,29.419224,14.875744,0,1,230400,31790,7,false,diane
1750255144.938873,26.216908,10.170160,0,1,230400,31790,7,false,diane
1750255145.007518,22.927390,9.780871,0,1,230400,31790,7,false,diane
1750255145.074956,20.119099,8.875698,0,1,230400,31790,7,false,diane
1750255145.142409,27.720303,10.518680,0,1,230400,31790,7,false,diane
1750255145.212133,18.529462,7.384623,0,1,230400,31790,7,false,diane
1750255145.404484,22.623927,11.199113,0,1,230400,31790,7,false,diane
1750255145.474745,31.116384,17.148885,0,1,230400,31790,7,false,diane
1750255145.539673,26.843578,10.237394,0,1,230400,31790,7,false,diane
1750255145.606553,27.305638,10.715613,0,1,230400,31790,7,false,diane
1750255145.804672,25.526203,10.981187,0,1,230400,31790,7,false,diane
1750255145.938036,29.577787,11.650323,0,1,230400,31790,7,false,diane
1750255146.005122,26.368239,8.389542,0,1,230400,31790,7,false,diane
1750255146.074956,31.511208,16.307553,0,1,230400,31790,7,false,diane
1750255146.206700,26.763512,11.181608,0,1,230400,31790,7,false,diane
1750255146.405701,26.441360,13.868423,0,1,230400,31790,7,false,diane
1750255146.539235,29.058447,14.345715,0,1,230400,31790,7,false,diane
1750255146.737818,34.999771,13.255993,0,1,230400,31790,7,false,diane
1750255146.806249,19.403563,8.377318,0,1,230400,31790,7,false,diane
1750255146.876440,67.402744,39.897391,0,1,230400,31790,7,false,diane
1750255146.942823,23.087138,10.816512,0,1,230400,31790,7,false,diane
1750255147.007065,22.809563,7.292044,0,1,230400,31790,7,false,diane
1750255147.073704,22.365616,7.613908,0,1,230400,31790,7,false,diane
1750255147.142458,26.404432,12.813135,0,1,230400,31790,7,false,diane
1750255147.205528,23.239237,10.311603,0,1,230400,31790,7,false,diane
1750255147.272426,18.220910,6.712127,0,1,230400,31790,7,false,diane
1750255147.340518,18.441811,6.622076,0,1,230400,31790,7,false,diane
1750255147.610229,23.357864,13.208312,0,1,230400,31790,7,false,diane
1750255147.674651,24.760265,14.189391,0,1,230400,31790,7,false,diane
1750255147.739219,17.765539,6.505402,0,1,230400,31790,7,false,diane
1750255147.808158,17.609951,6.817889,0,1,230400,31790,7,false,diane
1750255147.874818,16.773932,6.713375,0,1,230400,31790,7,false,diane
1750255147.954344,50.761199,27.026622,0,1,230400,31790,7,false,diane
1750255148.021894,30.491279,11.989531,0,1,230400,31790,7,false,diane
1750255148.076239,21.067473,8.477481,0,1,230400,31790,7,false,diane
1750255148.141527,18.543253,6.302869,0,1,230400,31790,7,false,diane
1750255148.210133,16.475909,6.422199,0,1,230400,31790,7,false,diane
1750255148.274471,18.665624,6.693374,0,1,230400,31790,7,false,diane
1750255148.340173,18.044266,6.803553,0,1,230400,31790,7,false,diane
1750255148.407050,21.727681,9.636323,0,1,230400,31790,7,false,diane
