timestamp,latency,encoding_time_diane,numberpoints,height,width,bw,fps,is_dense,format
1750255235.013465,28.920980,13.940318,0,1,230400,2490,13,false,diane
1750255235.082414,27.801659,12.605216,0,1,230400,2490,13,false,diane
1750255235.145576,24.839255,9.927811,0,1,230400,2490,13,false,diane
1750255235.215235,24.761270,10.273258,0,1,230400,2490,13,false,diane
1750255235.278046,27.117099,9.135825,0,1,230400,2490,13,false,diane
1750255235.346164,24.712181,9.033102,0,1,230400,2490,13,false,diane
1750255235.478269,20.371634,8.679366,0,1,230400,2490,13,false,diane
1750255235.611220,20.314992,8.508482,0,1,230400,2490,13,false,diane
1750255235.678043,20.113739,8.606629,0,1,230400,2490,13,false,diane
1750255235.744989,20.458868,8.976301,0,1,230400,2490,13,false,diane
1750255235.811219,22.358815,9.091440,0,1,230400,2490,13,false,diane
1750255236.011972,19.242232,8.705415,0,1,230400,2490,13,false,diane
1750255236.078675,19.973704,8.623141,0,1,230400,2490,13,false,diane
1750255236.145156,22.224795,9.065103,0,1,230400,2490,13,false,diane
1750255236.211683,20.013097,8.549699,0,1,230400,2490,13,false,diane
1750255236.280527,20.388433,8.508098,0,1,230400,2490,13,false,diane
1750255236.346782,20.347089,8.561059,0,1,230400,2490,13,false,diane
1750255236.413978,20.035657,8.388896,0,1,230400,2490,13,false,diane
1750255236.478766,19.763107,8.472802,0,1,230400,2490,13,false,diane
1750255236.545368,21.635342,8.453697,0,1,230400,2490,13,false,diane
1750255236.612015,21.623789,8.503203,0,1,230400,2490,13,false,diane
1750255236.678330,20.313104,8.697191,0,1,230400,2490,13,false,diane
1750255236.745142,20.057450,9.087632,0,1,230400,2490,13,false,diane
1750255236.811276,22.958508,10.148104,0,1,230400,2490,13,false,diane
1750255236.878622,22.672518,10.069382,0,1,230400,2490,13,false,diane
1750255236.945423,24.306026,9.987556,0,1,230400,2490,13,false,diane
1750255237.078154,22.156441,9.187953,0,1,230400,2490,13,false,diane
1750255237.145644,21.535436,8.844777,0,1,230400,2490,13,false,diane
1750255237.211732,20.671448,9.585659,0,1,230400,2490,13,false,diane
1750255237.278660,19.017586,8.531203,0,1,230400,2490,13,false,diane
1750255237.345462,20.063177,8.808553,0,1,230400,2490,13,false,diane
1750255237.412014,58.542552,35.006495,0,1,230400,2490,13,false,diane
1750255237.497967,21.872211,10.761302,0,1,230400,2490,13,false,diane
1750255237.543377,17.896632,6.799643,0,1,230400,2490,13,false,diane
1750255237.675015,17.734645,7.343687,0,1,230400,2490,13,false,diane
1750255237.741918,22.562595,10.354732,0,1,230400,2490,13,false,diane
1750255237.808723,21.411240,9.296724,0,1,230400,2490,13,false,diane
1750255237.875021,22.027351,9.374838,0,1,230400,2490,13,false,diane
1750255237.939576,18.884719,8.405888,0,1,230400,2490,13,false,diane
1750255238.006397,26.643936,7.888980,0,1,230400,2490,13,false,diane
1750255238.073212,18.905231,7.191972,0,1,230400,2490,13,false,diane
1750255238.140960,20.211982,8.592836,0,1,230400,2490,13,false,diane
1750255238.206390,20.167564,8.135129,0,1,230400,2490,13,false,diane
1750255238.273331,19.075635,8.319485,0,1,230400,2490,13,false,diane
1750255238.339663,21.882899,8.819338,0,1,230400,2490,13,false,diane
1750255238.406893,19.629568,7.813458,0,1,230400,2490,13,false,diane
1750255238.473043,18.368964,7.562029,0,1,230400,2490,13,false,diane
1750255238.607435,21.809617,8.899179,0,1,230400,2490,13,false,diane
1750255238.673518,22.494626,9.340277,0,1,230400,2490,13,false,diane
1750255238.739111,21.992821,8.832810,0,1,230400,2490,13,false,diane
1750255238.805959,22.054008,8.989133,0,1,230400,2490,13,false,diane
1750255238.872833,22.492289,9.655069,0,1,230400,2490,13,false,diane
1750255238.939409,22.150457,9.154033,0,1,230400,2490,13,false,diane
1750255239.006250,17.689555,6.989440,0,1,230400,2490,13,false,diane
1750255239.073114,16.871105,6.666648,0,1,230400,2490,13,false,diane
1750255239.140016,19.533246,8.219803,0,1,230400,2490,13,false,diane
1750255239.206600,22.359422,9.362934,0,1,230400,2490,13,false,diane
1750255239.272895,21.008415,6.390130,0,1,230400,2490,13,false,diane
1750255239.407931,17.290891,7.158339,0,1,230400,2490,13,false,diane
1750255239.473616,17.675155,7.142371,0,1,230400,2490,13,false,diane
1750255239.540998,16.980067,6.664536,0,1,230400,2490,13,false,diane
1750255239.606870,17.503215,7.008768,0,1,230400,2490,13,false,diane
1750255239.674704,18.291681,7.876180,0,1,230400,2490,13,false,diane
1750255239.740706,17.557968,7.338695,0,1,230400,2490,13,false,diane
1750255239.874947,16.715197,6.600598,0,1,230400,2490,13,false,diane
1750255239.940377,18.234272,7.292582,0,1,230400,2490,13,false,diane
1750255240.006413,18.661930,7.728241,0,1,230400,2490,13,false,diane
1750255240.072845,17.859063,7.470346,0,1,230400,2490,13,false,diane
1750255240.139189,18.497542,7.367816,0,1,230400,2490,13,false,diane
1750255240.206276,18.231616,7.117506,0,1,230400,2490,13,false,diane
1750255240.273037,19.754658,7.098465,0,1,230400,2490,13,false,diane
1750255240.405658,18.856142,7.673103,0,1,230400,2490,13,false,diane
1750255240.473383,18.128989,7.417065,0,1,230400,2490,13,false,diane
1750255240.874491,27.453714,11.606953,0,1,230400,2490,13,false,diane
