timestamp,latency,encoding_time_diane,numberpoints,height,width,bw,fps,is_dense,format
1750255389.205362,29.704230,14.887876,0,1,230400,2840,9,false,diane
1750255389.273560,25.888820,14.867747,0,1,230400,2840,9,false,diane
1750255389.404414,16.966322,6.780852,0,1,230400,2840,9,false,diane
1750255389.479957,17.165718,6.648561,0,1,230400,2840,9,false,diane
1750255389.604872,22.819665,9.499246,0,1,230400,2840,9,false,diane
1750255389.678945,24.044459,12.931225,0,1,230400,2840,9,false,diane
1750255389.804868,25.064994,10.141629,0,1,230400,2840,9,false,diane
1750255389.877177,20.911879,8.320726,0,1,230400,2840,9,false,diane
1750255389.944262,26.707653,12.932794,0,1,230400,2840,9,false,diane
1750255390.005488,33.787456,17.785347,0,1,230400,2840,9,false,diane
1750255390.073397,25.178948,11.684159,0,1,230400,2840,9,false,diane
1750255390.270991,23.288251,8.403895,0,1,230400,2840,9,false,diane
1750255390.404653,27.473590,14.837155,0,1,230400,2840,9,false,diane
1750255390.472200,19.739437,6.569391,0,1,230400,2840,9,false,diane
1750255390.539091,25.905716,12.458767,0,1,230400,2840,9,false,diane
1750255390.617409,23.008564,7.314975,0,1,230400,2840,9,false,diane
1750255390.678692,25.043937,11.928995,0,1,230400,2840,9,false,diane
1750255390.749595,18.911163,7.774057,0,1,230400,2840,9,false,diane
1750255391.138123,18.781177,8.086256,0,1,230400,2840,9,false,diane
1750255391.272426,23.574209,13.044636,0,1,230400,2840,9,false,diane
1750255391.344594,20.867942,9.268522,0,1,230400,2840,9,false,diane
1750255391.471799,30.788510,16.922928,0,1,230400,2840,9,false,diane
1750255391.538636,23.539360,11.569724,0,1,230400,2840,9,false,diane
1750255391.609714,20.119445,8.561722,0,1,230400,2840,9,false,diane
1750255391.673596,72.679661,36.225780,0,1,230400,2840,9,false,diane
1750255391.813436,20.346395,7.726280,0,1,230400,2840,9,false,diane
1750255391.939726,22.579691,11.015727,0,1,230400,2840,9,false,diane
1750255392.019167,19.692749,7.628838,0,1,230400,2840,9,false,diane
1750255392.138097,16.949713,6.751538,0,1,230400,2840,9,false,diane
1750255392.214777,23.301947,12.051398,0,1,230400,2840,9,false,diane
1750255392.279875,38.285633,10.005049,0,1,230400,2840,9,false,diane
1750255392.405942,18.375439,7.927692,0,1,230400,2840,9,false,diane
1750255392.478189,18.902651,7.784585,0,1,230400,2840,9,false,diane
1750255392.539423,24.433779,7.627078,0,1,230400,2840,9,false,diane
1750255392.610147,18.999133,6.740563,0,1,230400,2840,9,false,diane
1750255392.675779,21.397521,9.344459,0,1,230400,2840,9,false,diane
1750255392.744336,20.700994,8.564858,0,1,230400,2840,9,false,diane
1750255392.809128,16.598953,6.461932,0,1,230400,2840,9,false,diane
1750255392.938135,17.617344,7.437282,0,1,230400,2840,9,false,diane
1750255393.012289,28.125668,9.429325,0,1,230400,2840,9,false,diane
1750255393.075589,17.514845,6.470893,0,1,230400,2840,9,false,diane
1750255393.139775,16.813549,6.552015,0,1,230400,2840,9,false,diane
1750255393.212193,16.375012,6.549199,0,1,230400,2840,9,false,diane
1750255393.276277,16.020829,6.240231,0,1,230400,2840,9,false,diane
1750255393.342002,16.396484,6.203559,0,1,230400,2840,9,false,diane
1750255393.409589,17.333561,6.499246,0,1,230400,2840,9,false,diane
1750255393.475744,21.884796,9.862807,0,1,230400,2840,9,false,diane
1750255393.541014,18.405584,6.748306,0,1,230400,2840,9,false,diane
1750255393.609853,17.228470,6.401484,0,1,230400,2840,9,false,diane
1750255393.675237,16.541640,6.449388,0,1,230400,2840,9,false,diane
1750255393.742243,20.591487,6.634481,0,1,230400,2840,9,false,diane
1750255393.812393,18.245709,6.285000,0,1,230400,2840,9,false,diane
1750255393.877586,16.388165,6.336682,0,1,230400,2840,9,false,diane
1750255393.943125,17.999912,6.739474,0,1,230400,2840,9,false,diane
1750255394.008606,17.721313,7.019897,0,1,230400,2840,9,false,diane
1750255394.077914,16.811405,6.613168,0,1,230400,2840,9,false,diane
1750255394.145069,19.626698,6.662065,0,1,230400,2840,9,false,diane
1750255394.208527,16.345923,6.379627,0,1,230400,2840,9,false,diane
1750255394.275267,17.527933,6.310537,0,1,230400,2840,9,false,diane
1750255394.342559,17.638527,6.572623,0,1,230400,2840,9,false,diane
1750255394.409185,16.523656,6.462285,0,1,230400,2840,9,false,diane
1750255394.475338,16.187359,6.324682,0,1,230400,2840,9,false,diane
1750255394.542987,17.299384,6.789524,0,1,230400,2840,9,false,diane
1750255394.607688,17.526397,6.686001,0,1,230400,2840,9,false,diane
1750255394.676692,17.921862,7.096730,0,1,230400,2840,9,false,diane
1750255394.742880,16.618313,6.544718,0,1,230400,2840,9,false,diane
1750255394.809912,16.434693,6.220871,0,1,230400,2840,9,false,diane
1750255394.875297,17.128340,6.645712,0,1,230400,2840,9,false,diane
1750255395.005904,19.862160,6.568431,0,1,230400,2840,9,false,diane
1750255395.077661,17.668000,6.514702,0,1,230400,2840,9,false,diane
1750255395.204704,18.320462,6.900758,0,1,230400,2840,9,false,diane
1750255395.278337,19.191329,6.346090,0,1,230400,2840,9,false,diane
1750255395.344416,16.845294,6.153350,0,1,230400,2840,9,false,diane
1750255395.410763,19.626250,6.358346,0,1,230400,2840,9,false,diane
1750255395.474757,19.456007,6.407628,0,1,230400,2840,9,false,diane
1750255395.543767,20.170359,8.335189,0,1,230400,2840,9,false,diane
1750255395.612737,17.313721,6.411436,0,1,230400,2840,9,false,diane
1750255395.737942,21.037929,8.379382,0,1,230400,2840,9,false,diane
1750255395.809425,16.745388,6.353130,0,1,230400,2840,9,false,diane
1750255395.876586,16.658698,6.494733,0,1,230400,2840,9,false,diane
1750255395.944434,17.368345,6.423532,0,1,230400,2840,9,false,diane
1750255396.011438,20.914375,8.516633,0,1,230400,2840,9,false,diane
1750255396.076906,17.909573,6.387627,0,1,230400,2840,9,false,diane
1750255396.142275,19.262051,7.399009,0,1,230400,2840,9,false,diane
1750255396.339964,22.447143,7.253278,0,1,230400,2840,9,false,diane
1750255396.472027,17.612606,6.587919,0,1,230400,2840,9,false,diane
1750255396.604944,17.948070,7.423041,0,1,230400,2840,9,false,diane
1750255396.676908,18.455025,6.479533,0,1,230400,2840,9,false,diane
1750255396.742999,19.132992,6.299465,0,1,230400,2840,9,false,diane
1750255396.809641,17.956903,6.421452,0,1,230400,2840,9,false,diane
1750255396.875600,16.399013,6.502349,0,1,230400,2840,9,false,diane
1750255396.944976,17.227702,6.325834,0,1,230400,2840,9,false,diane
1750255397.011821,17.702593,6.518926,0,1,230400,2840,9,false,diane
1750255397.138336,18.398799,7.042008,0,1,230400,2840,9,false,diane
1750255397.272058,21.378577,9.251561,0,1,230400,2840,9,false,diane
1750255397.346771,20.308217,8.685661,0,1,230400,2840,9,false,diane
1750255397.538157,19.460583,7.678023,0,1,230400,2840,9,false,diane
1750255397.612239,16.584425,6.683474,0,1,230400,2840,9,false,diane
1750255397.676003,16.692587,6.456588,0,1,230400,2840,9,false,diane
1750255397.743859,17.441307,6.856789,0,1,230400,2840,9,false,diane
1750255397.809393,24.899229,11.304278,0,1,230400,2840,9,false,diane
1750255397.876619,20.841157,7.958349,0,1,230400,2840,9,false,diane
1750255397.939171,17.952230,7.469507,0,1,230400,2840,9,false,diane
1750255398.005570,22.482920,9.504079,0,1,230400,2840,9,false,diane
1750255398.077223,18.514418,6.612304,0,1,230400,2840,9,false,diane
1750255398.145497,17.227158,6.500685,0,1,230400,2840,9,false,diane
1750255398.211107,19.073854,6.565582,0,1,230400,2840,9,false,diane
1750255398.276047,25.112930,12.956889,0,1,230400,2840,9,false,diane
1750255398.338893,16.623817,6.772403,0,1,230400,2840,9,false,diane
1750255398.406103,16.611753,6.833492,0,1,230400,2840,9,false,diane
1750255398.475608,21.267981,11.099217,0,1,230400,2840,9,false,diane
1750255398.544470,17.107092,6.949047,0,1,230400,2840,9,false,diane
1750255398.616077,17.405242,6.427340,0,1,230400,2840,9,false,diane
1750255398.738248,16.869806,6.795572,0,1,230400,2840,9,false,diane
1750255398.810121,16.623721,6.558447,0,1,230400,2840,9,false,diane
1750255399.072925,17.450906,6.761331,0,1,230400,2840,9,false,diane
1750255399.144199,17.994279,6.916822,0,1,230400,2840,9,false,diane
1750255399.271346,18.496209,7.365952,0,1,230400,2840,9,false,diane
1750255399.343570,19.846735,6.853940,0,1,230400,2840,9,false,diane
1750255399.412115,16.648169,6.726930,0,1,230400,2840,9,false,diane
1750255399.476628,19.803438,6.730546,0,1,230400,2840,9,false,diane
1750255399.544025,17.709857,7.199612,0,1,230400,2840,9,false,diane
1750255399.609570,17.388921,6.596815,0,1,230400,2840,9,false,diane
1750255399.682207,16.582408,6.616368,0,1,230400,2840,9,false,diane
1750255399.744169,20.896966,8.397430,0,1,230400,2840,9,false,diane
1750255399.871288,25.525259,9.146183,0,1,230400,2840,9,false,diane
1750255400.071758,19.554409,8.266931,0,1,230400,2840,9,false,diane
1750255400.148366,17.854755,6.242536,0,1,230400,2840,9,false,diane
1750255400.211244,16.549415,6.165414,0,1,230400,2840,9,false,diane
1750255400.280734,19.669515,6.901046,0,1,230400,2840,9,false,diane
1750255400.472348,23.267033,11.037296,0,1,230400,2840,9,false,diane
1750255400.606121,18.818296,7.859050,0,1,230400,2840,9,false,diane
1750255400.677577,19.666091,7.856778,0,1,230400,2840,9,false,diane
1750255400.804816,24.231566,12.512432,0,1,230400,2840,9,false,diane
1750255400.937958,24.193293,7.156411,0,1,230400,2840,9,false,diane
1750255401.014849,20.499133,7.070490,0,1,230400,2840,9,false,diane
1750255401.084598,22.513736,7.739688,0,1,230400,2840,9,false,diane
1750255401.145836,20.393306,9.186535,0,1,230400,2840,9,false,diane
1750255401.209687,18.337101,6.797652,0,1,230400,2840,9,false,diane
1750255401.277433,20.471260,8.367797,0,1,230400,2840,9,false,diane
1750255401.342227,36.634202,19.522120,0,1,230400,2840,9,false,diane
1750255401.407542,28.783696,13.676009,0,1,230400,2840,9,false,diane
1750255401.476619,30.711482,16.657609,0,1,230400,2840,9,false,diane
1750255401.554503,24.325264,12.717684,0,1,230400,2840,9,false,diane
1750255401.671629,18.619284,8.385238,0,1,230400,2840,9,false,diane
1750255401.805847,25.735759,14.269110,0,1,230400,2840,9,false,diane
1750255401.938618,21.097162,10.133756,0,1,230400,2840,9,false,diane
1750255402.071341,17.509436,6.427083,0,1,230400,2840,9,false,diane
1750255402.146849,27.410259,14.536636,0,1,230400,2840,9,false,diane
1750255402.206975,30.321138,13.921134,0,1,230400,2840,9,false,diane
1750255402.339486,22.269283,6.681009,0,1,230400,2840,9,false,diane
1750255402.416757,28.592108,14.477082,0,1,230400,2840,9,false,diane
1750255402.476657,28.145827,13.973359,0,1,230400,2840,9,false,diane
1750255402.614725,21.465650,7.166651,0,1,230400,2840,9,false,diane
1750255402.740472,18.142954,6.800659,0,1,230400,2840,9,false,diane
1750255402.871724,19.307939,7.528099,0,1,230400,2840,9,false,diane
1750255402.946368,18.682774,6.692561,0,1,230400,2840,9,false,diane
1750255403.013522,17.026481,6.590991,0,1,230400,2840,9,false,diane
1750255403.078431,17.831651,7.240573,0,1,230400,2840,9,false,diane
1750255403.150834,18.150186,7.289631,0,1,230400,2840,9,false,diane
1750255403.271496,17.709088,6.721234,0,1,230400,2840,9,false,diane
1750255403.343162,16.467365,6.352041,0,1,230400,2840,9,false,diane
1750255403.412528,16.986064,6.806452,0,1,230400,2840,9,false,diane
1750255403.481097,23.939527,8.208306,0,1,230400,2840,9,false,diane
1750255403.672962,18.467216,6.584431,0,1,230400,2840,9,false,diane
1750255403.746453,22.444935,7.715975,0,1,230400,2840,9,false,diane
1750255403.817196,19.830510,6.787475,0,1,230400,2840,9,false,diane
1750255403.873660,18.915418,8.602651,0,1,230400,2840,9,false,diane
1750255403.945991,21.629430,8.995427,0,1,230400,2840,9,false,diane
1750255404.009684,21.059081,10.122235,0,1,230400,2840,9,false,diane
1750255404.079209,25.750446,13.503045,0,1,230400,2840,9,false,diane
1750255404.147112,24.330767,13.626375,0,1,230400,2840,9,false,diane
1750255404.212653,26.310042,12.764821,0,1,230400,2840,9,false,diane
1750255404.278758,24.637910,13.712393,0,1,230400,2840,9,false,diane
1750255404.352981,19.162079,7.664038,0,1,230400,2840,9,false,diane
1750255404.471930,28.787824,14.145619,0,1,230400,2840,9,false,diane
1750255404.605152,26.086197,12.487054,0,1,230400,2840,9,false,diane
1750255404.671331,17.861219,6.583503,0,1,230400,2840,9,false,diane
1750255404.739194,18.175210,7.605093,0,1,230400,2840,9,false,diane
